epoch,slice,prb_budget,weight,report,cqi,throughput_mbps,mean_delay_ms,sla_violation,prb_used,reward
0,URLLC,22,7.741398895329258,3.437622465300327,11.0,9.7584,4.22112,1.0,0.0,-16.79831421137584
0,eMBB,22,2.646432524187702,24.675170750142325,14.0,7.368,4.45741,0.0,0.0,-16.79831421137584
0,mMTC,6,0.32715467548097166,2.691836809106435,8.0,1.9648,5.1144,0.0,0.0,-16.79831421137584
1,URLLC,19,3.5922435868069735,3.3313481870780377,12.0,11.0352,3.50507,0.752537,0.0,-10.818852390618275
1,eMBB,24,2.0687201145897753,17.34874167237912,12.0,17.6832,3.58527,0.0,0.0,-10.818852390618275
1,mMTC,7,0.4831596822986832,3.0353336075279556,10.0,1.9648,3.73747,0.0,0.0,-10.818852390618275
2,URLLC,19,3.4364561686057877,3.1137154727925362,13.0,12.2208,3.52791,0.763953,0.0,-10.819592783560086
2,eMBB,24,2.1362191137581386,37.1545602513779,12.0,14.736,3.59702,0.0,0.0,-10.819592783560086
2,mMTC,7,0.46862430591003845,2.970847121508633,8.0,2.9472,3.78523,0.0,0.0,-10.819592783560086
3,URLLC,19,3.4185001713950234,2.6896809968514175,12.0,14.3184,3.51023,0.755113,0.0,-10.705308591202446
3,eMBB,24,2.1286565726944966,23.52041103421632,11.0,14.2448,3.57119,0.0,0.0,-10.705308591202446
3,mMTC,7,0.4752102830153524,3.497271182891402,10.0,1.9648,4.06909,0.0,0.0,-10.705308591202446
4,URLLC,21,6.519148929141595,2.942506746258487,12.0,13.8624,3.51369,0.756843,0.0,-10.843949047555114
4,eMBB,22,2.11825798515519,20.833359926686736,13.0,11.2976,3.62674,0.0,0.0,-10.843949047555114
4,mMTC,7,0.3832329634460978,3.1660511044834276,10.0,2.456,3.56415,0.0,0.0,-10.843949047555114
