epoch,slice,prb_budget,weight,report,cqi,throughput_mbps,mean_delay_ms,sla_violation,prb_used,reward
0,URLLC,22,7.7443170102507075,3.125111332091206,11.0,9.7584,4.22112,1.0,0.0,-16.79831421137584
0,eMBB,22,2.6460438408477542,22.431973409220294,14.0,7.368,4.45741,0.0,0.0,-16.79831421137584
0,mMTC,6,0.32714188970173314,2.447124371914941,8.0,1.9648,5.1144,0.0,0.0,-16.79831421137584
1,URLLC,19,3.5924473148047738,3.0284983518891258,12.0,11.0352,3.50507,0.752537,0.0,-10.818852390618275
1,eMBB,24,2.068920620463671,15.771583338526485,12.0,17.6832,3.58527,0.0,0.0,-10.818852390618275
1,mMTC,7,0.48302319567766283,2.7593941886617763,10.0,1.9648,3.73747,0.0,0.0,-10.818852390618275
2,URLLC,19,3.4372707465034247,2.8306504298113913,13.0,12.2208,3.52791,0.763953,0.0,-10.819592783560086
2,eMBB,24,2.1360292088185266,33.77687295579812,12.0,14.736,3.59702,0.0,0.0,-10.819592783560086
2,mMTC,7,0.46861252151031413,2.7007701104623933,8.0,2.9472,3.78523,0.0,0.0,-10.819592783560086
3,URLLC,19,3.4191826869068427,2.4451645425921935,12.0,14.3184,3.51023,0.755113,0.0,-10.705308591202446
3,eMBB,24,2.1285376784346948,21.3821918492876,11.0,14.2448,3.57119,0.0,0.0,-10.705308591202446
3,mMTC,7,0.4751787508297452,3.1793374389921816,10.0,1.9648,4.06909,0.0,0.0,-10.705308591202446
4,URLLC,19,3.43165310432197,2.675006132962255,12.0,12.6768,3.51554,0.757768,0.0,-10.916144886849803
4,eMBB,24,2.1181899597584795,18.939418115169794,13.0,12.28,3.65597,0.0,0.0,-10.916144886849803
4,mMTC,7,0.4790047409095893,2.878228276803114,10.0,2.456,3.56415,0.0,0.0,-10.916144886849803
