epoch,load,L,reward,rho,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs,planner_action,report_multiplier,payment_sum,theta_URLLC,report_URLLC,weight_URLLC,alloc_URLLC,payment_URLLC,utility_URLLC,theta_eMBB,report_eMBB,weight_eMBB,alloc_eMBB,payment_eMBB,utility_eMBB,theta_mMTC,report_mMTC,weight_mMTC,alloc_mMTC,payment_mMTC,utility_mMTC,scenario
0,0.55,30,-88.34980999002707,0.0,0.8021302818360853,0.08888888888888889,7.770240826274259,0.9568438242585806,0,1.0,911.1898342342631,1.3112521647581195,1.3112521647581195,3.6178571428571433,2.066666666666667,19.85100531319378,59.16705032109925,7.379185175004756,7.379185175004756,2.0939285714285716,8.0,752.7057767489182,1125.57080584723,3.028270835329239,3.028270835329239,0.46599999999999997,4.066666666666666,138.63305217215117,181.62099547827984,truthful
1,0.55,30,-115.22257606422859,0.0,0.7003711371887441,0.1,7.826788377751879,0.8806332040438645,1,1.0,1076.6981392294392,1.484346778580492,1.484346778580492,6.722543215325701,2.6,14.254190807877933,209.07410261726938,8.84249869762787,8.84249869762787,1.9001271233253376,9.0,980.9496223233662,2455.1957351724795,2.2676583574637657,2.2676583574637657,0.46520746908114136,3.0,81.49432609819512,292.33779343090094,truthful
2,0.55,30,-132.23607523089805,0.0,1.228597109180746,0.12222222222222222,8.710260292702177,1.1853404049832226,0,1.0,1295.0794716894084,2.341165604796466,2.341165604796466,3.541430862634438,3.1333333333333333,49.807322844430445,371.6546011681698,9.87719693877526,9.87719693877526,1.9209242836811595,10.0,1207.776028443847,4013.6785752654896,2.121292383813388,2.121292383813388,0.5698558341720928,3.7666666666666666,37.49612040113084,553.5442342195042,truthful
3,0.55,30,-29.200950326513368,0.0,0.41182607762889134,0.05555555555555555,7.204873178373879,3.2226607621015706,6,1.0,1272.6358586340964,2.1686170808508165,2.1686170808508165,3.2834421756508334,3.066666666666667,67.49644458775862,481.0998611656453,8.670648788551965,8.670648788551965,4.132150263859035,9.0,1032.3529286969856,4967.9982300972,3.1279512867239165,3.1279512867239165,0.5820745899258474,4.0,172.78648534935223,674.5204444578721,truthful
4,0.55,30,-262.5759871123362,0.0,1.9775544203583348,0.17777777777777778,7.472055664169736,0.2878578421236523,2,1.0,186.39814952087474,1.8379068437749968,1.8379068437749968,3.6870148283013346,2.3,6.299476532266382,596.3625081783914,5.626981184790268,5.626981184790268,3.310203968257828,7.366666666666666,129.212288852744,6645.872927552053,2.1609946109704348,2.1609946109704348,0.4804995821954785,3.6666666666666665,50.88638413586435,913.5932324581795,truthful
5,0.55,30,-98.51570340823878,0.0,1.3794849151411652,0.08888888888888889,9.365071279538986,0.9781818577231342,7,1.0,467.5620075683981,1.5825141163675782,1.5825141163675782,6.174491761991846,2.2333333333333334,16.998953848898736,683.6360470873486,9.874535776460538,9.874535776460538,1.6811566670119416,10.0,376.3587065279394,9309.597493980884,2.123872542020409,2.123872542020409,0.8269110766801702,3.066666666666667,74.20434719155998,1001.3715540701207,truthful
6,0.55,30,-161.08039758152066,0.0,0.9280083524209247,0.12222222222222222,7.828053639164719,0.7156725303869285,3,1.0,844.5054863052113,1.708376998179051,1.708376998179051,4.074013805005945,2.066666666666667,12.946613426688131,773.960292142988,8.66220320979183,8.66220320979183,1.6073367698824454,9.0,800.9783309953405,10856.311038956837,1.5509818711936196,1.5509818711936196,1.0420435132692556,2.0,30.580541883182754,1041.2527794555106,truthful
7,0.55,30,4.382395779296047,0.0,0.7288593293622694,0.03333333333333333,7.605201342944453,0.5285465742435289,4,1.0,1194.1008426232734,1.5587657747243482,1.5587657747243482,8.152410542489944,2.033333333333333,24.83280587258278,838.1079016526701,9.549581961881014,9.549581961881014,2.3818470521976582,10.0,1167.4180367506906,12622.46018905693,0.7825520329885778,0.7825520329885778,0.3886286710040284,1.2333333333333334,1.8499999999999979,1083.3197051653933,truthful
8,0.55,30,-35.18734398736957,0.0,0.36266446540764175,0.05555555555555555,7.376939621916631,1.2241603584901737,4,1.0,1577.9664690887892,1.474839023452259,1.474839023452259,8.131885068299555,2.1,19.980910964529812,938.7096183465613,10.856013726550955,10.856013726550955,2.417919477841819,11.0,1525.627354498632,14398.447775898523,1.2098302666914487,1.2098302666914487,0.3786657638488995,2.0,32.358203625627304,1154.3056488602497,truthful
9,0.55,30,2.912257984412546,0.0,0.9275807491057773,0.05555555555555555,9.952788533026956,1.1930546870015073,5,1.0,889.4642324511564,4.749754241633478,4.749754241633478,4.951489940047367,5.033333333333333,242.978314041827,1241.0510776774915,9.861192189434254,9.861192189434254,2.6456123432737306,10.0,565.0399621201577,17086.243205354578,2.382389195500944,2.382389195500944,0.7172309158613602,3.033333333333333,81.44595628917173,1277.81839690239,truthful
