slot,epoch,slice,tenant,load,L,theta,report,report_multiplier,weight,allocation_prbs,throughput_mbps,latency_ms,cqi,snr_db,ber,demand_prbs,binding,sla_violation,wasted_prbs
0,0,URLLC,0,0.55,30,1.3112521647581195,1.3112521647581195,1.0,3.6178571428571433,2,1.125866016629607,0.0,14.0,21.031163189503783,2.1329110401713283e-57,1.3112521647581195,0,0,0.6887478352418805
0,0,eMBB,1,0.55,30,7.379185175004756,7.379185175004756,1.0,2.0939285714285716,8,6.450966750667371,0.0,15.0,25.048923060853976,2.0205472498618884e-141,7.379185175004756,0,0,0.6208148249952439
0,0,mMTC,2,0.55,30,3.028270835329239,3.028270835329239,1.0,0.46599999999999997,4,0.6582231447429254,0.0,7.0,7.056448549855102,0.0007195983171128366,3.028270835329239,0,0,0.9717291646707609
1,0,URLLC,0,0.55,30,1.2848495780050055,1.3112521647581195,1.0,3.6178571428571433,2,0.033123237780002486,0.0,13.0,20.772005125433665,3.402550744690144e-54,1.2848495780050055,0,0,0.7151504219949945
1,0,eMBB,1,0.55,30,7.388914944413875,7.379185175004756,1.0,2.0939285714285716,8,5.844585924908886,0.0,15.0,23.754387588806292,1.4798424664046835e-105,7.388914944413875,0,0,0.6110850555861251
1,0,mMTC,2,0.55,30,3.0725869127495455,3.028270835329239,1.0,0.46599999999999997,4,0.04050741807466673,0.0,7.0,7.547952823465481,0.0003728585827261235,3.072586912749546,0,0,0.927413087250454
2,0,URLLC,0,0.55,30,1.2305530010233323,1.3112521647581195,1.0,3.6178571428571433,2,1.51000704,0.014580437825019747,14.0,21.53703781515766,3.1688063722247156e-64,1.2305530010233323,0,0,0.7694469989766677
2,0,eMBB,1,0.55,30,7.540854874003366,7.379185175004756,1.0,2.0939285714285716,8,6.319404848827589,0.0,15.0,23.529290972194353,2.446747590303516e-100,7.540854874003366,0,0,0.45914512599663393
2,0,mMTC,2,0.55,30,2.9910337805124185,3.028270835329239,1.0,0.46599999999999997,4,0.08352250923144186,0.0,8.0,8.720522012311761,5.678886406026537e-05,2.9910337805124185,0,0,1.0089662194875815
3,0,URLLC,0,0.55,30,1.2383680208468415,1.3112521647581195,1.0,3.6178571428571433,2,1.51000704,0.4005273168623941,14.0,21.27647441571017,1.308420881676804e-60,1.267528896496881,0,0,0.7324711035031191
3,0,eMBB,1,0.55,30,7.990138321954231,7.379185175004756,1.0,2.0939285714285716,8,5.253042546053717,0.0,15.0,23.791732311069744,1.8969487801488745e-106,7.990138321954231,0,0,0.009861678045768763
3,0,mMTC,2,0.55,30,2.9076265011510123,3.028270835329239,1.0,0.46599999999999997,4,0.0505792154747779,0.0,8.0,10.182233900569939,2.474305865651643e-06,2.9076265011510123,0,0,1.0923734988489877
