load,L,rho_hat,strategic_rho_hat,truthful_reward_per_slot,strategic_reward_per_slot,truthful_utility,strategic_utility,raw_strategic_gain,ic_slack,theory_rho_T_over_L,mean_delay_ms,sla_violation_rate,throughput_mbps,wasted_prbs,seed
0.55,30,0.0,0.0,-4.318225943916429,-4.813582541792055,188121.45931139364,229709.7112010057,41588.25188961206,0.0,0.0,1.25921926692724,0.11972222222222224,9.389763557187688,1.4640288646058488,0
0.55,60,0.0,0.0,-5.116161408333122,-5.767342567095895,205167.32491883793,256696.58319476916,51529.258275931235,0.0,0.0,1.6516614685147555,0.14708333333333332,9.126131252689309,1.9419395951540612,0
0.55,120,0.0,0.0,-5.779818307931193,-6.431952116041334,219106.85086588428,267691.4280245293,48584.57715864503,0.0,0.0,1.900212657553015,0.1683333333333333,9.853774872821534,3.1695462835333355,0
0.55,240,0.0,0.0,-3.8778259528768997,-4.141769550527643,189179.83033308486,232609.8765995002,43430.04626641533,0.0,0.0,1.9053263961253009,0.1275,9.487935851507078,4.264456406408203,0
0.85,30,0.045,0.025,-8.205481188865278,-19.289740209463787,444308.6396053667,510597.5595373411,66288.91993197444,2983.0013969388497,3.6,2.8617239087243673,0.2322222222222222,14.839496371065376,1.4644581760425832,0
0.85,60,0.005,0.0,-8.074598255960003,-18.714822530192187,465140.3164881728,530206.0776696438,65065.761181470996,325.328805907355,0.2,3.0451085843857255,0.2577777777777778,15.241869500269283,2.552442423647308,0
0.85,120,0.0,0.0,-10.516983913293535,-16.676045578936396,448804.16192408255,494271.88657219673,45467.72464811418,0.0,0.0,6.951577685519327,0.3347222222222222,14.032144319329722,2.096650096009365,0
0.85,240,0.00041666666666666664,0.0,-12.94568800575447,-17.50677136981568,519745.2222337441,554356.9840843518,34611.7618506077,14.421567437753206,0.004166666666666667,32.39714072770723,0.3888888888888889,15.36631777992882,2.2396102163777916,0
1.15,30,0.14166666666666666,0.07958333333333334,-15.041250961248943,-23.41518892120878,802602.8500356469,774083.9900460794,0.0,0.0,11.333333333333334,9.177028318482893,0.4427777777777777,20.461490701204568,0.9961074318622755,0
1.15,60,0.1504166666666667,0.08,-11.632834302923607,-22.885337450886375,785334.8042311162,797403.8974440924,12069.093212976237,1815.392770785176,6.0166666666666675,4.062555582145493,0.2865277777777778,20.074216364467873,2.199060348006493,0
1.15,120,0.02833333333333334,0.07583333333333334,-20.206016895440325,-23.471716716645656,864197.7404905518,794793.5122640703,0.0,0.0,0.5666666666666668,23.35879188575793,0.5101388888888889,20.016535764964498,1.3759804774505116,0
