slot,epoch,slice,tenant,load,L,theta,report,report_multiplier,weight,allocation_prbs,throughput_mbps,latency_ms,cqi,snr_db,ber,demand_prbs,binding,sla_violation,wasted_prbs
0,0,URLLC,0,0.45,30,1.022985466924195,1.022985466924195,1.0,3.6640625000000004,2,0.3449973834700312,0.0,12.0,17.646118699095155,2.02578799830393e-27,1.022985466924195,0,0,0.9770145330758051
0,0,eMBB,1,0.45,30,8.627489753757734,8.627489753757734,1.0,2.08609375,9,5.183815319999999,0.25052799438140533,12.0,18.130481370697673,2.0076582725702998e-30,8.627489753757734,0,0,0.3725102462422658
0,0,mMTC,2,0.45,30,1.0604557990155736,1.0604557990155736,1.0,0.46375000000000005,2,0.8060436,0.05344532507173773,10.0,14.028230489923475,5.763098387865843e-13,1.0604557990155736,0,0,0.9395442009844264
1,0,URLLC,0,0.45,30,1.022985466924195,1.022985466924195,1.0,3.6640625000000004,2,0.6927904056688213,0.0,12.0,17.527557952604695,9.831628589583377e-27,1.022985466924195,0,0,0.9770145330758051
1,0,eMBB,1,0.45,30,8.627489753757734,8.627489753757734,1.0,2.08609375,9,5.183815319999999,0.20161383452268647,12.0,18.142758426133458,1.6678095606296593e-30,10.882241703190383,0,0,0.0
1,0,mMTC,2,0.45,30,1.0604557990155736,1.0604557990155736,1.0,0.46375000000000005,2,0.16130012325477364,0.0,10.0,13.722049224298836,3.333070472320991e-12,1.167346449159049,0,0,0.8326535508409509
2,0,URLLC,0,0.45,30,1.022985466924195,1.022985466924195,1.0,3.6640625000000004,2,0.215278411047472,0.0,12.0,17.297974780200533,1.859602301229922e-25,1.022985466924195,0,0,0.9770145330758051
2,0,eMBB,1,0.45,30,8.627489753757734,8.627489753757734,1.0,2.08609375,9,5.183815319999999,0.2867922828297432,12.0,18.228354088946155,4.511001468403565e-31,10.442014264461912,0,0,0.0
2,0,mMTC,2,0.45,30,1.0604557990155736,1.0604557990155736,1.0,0.46375000000000005,2,0.3684144922184698,0.0,10.0,13.075989129125796,9.294469138099205e-11,1.0604557990155736,0,0,0.9395442009844264
3,0,URLLC,0,0.45,30,1.022985466924195,1.022985466924195,1.0,3.6640625000000004,2,0.5020994191500867,0.0,11.0,16.208925319525584,3.113472969458377e-20,1.022985466924195,0,0,0.9770145330758051
3,0,eMBB,1,0.45,30,8.627489753757734,8.627489753757734,1.0,2.08609375,9,5.183815319999999,0.10950675111886142,12.0,18.498950254892026,6.083701217085912e-33,11.208620299225423,0,0,0.0
3,0,mMTC,2,0.45,30,1.0604557990155736,1.0604557990155736,1.0,0.46375000000000005,2,0.2006188605940463,0.0,10.0,11.873032148624171,1.4416004345041034e-08,1.0604557990155736,0,0,0.9395442009844264
4,0,URLLC,0,0.45,30,1.022985466924195,1.022985466924195,1.0,3.6640625000000004,2,0.3249228714719095,0.0,11.0,15.732591073339673,2.51787325919459e-18,1.022985466924195,0,0,0.9770145330758051
4,0,eMBB,1,0.45,30,8.627489753757734,8.627489753757734,1.0,2.08609375,9,5.183815319999999,0.0799701425961636,12.0,17.934019355367198,3.6416773777069066e-29,9.613050513827487,0,0,0.0
4,0,mMTC,2,0.45,30,1.0604557990155736,1.0604557990155736,1.0,0.46375000000000005,2,0.01773076765584897,0.0,10.0,12.185676354179305,4.416627609073584e-09,1.0604557990155736,0,0,0.9395442009844264
5,0,URLLC,0,0.45,30,1.022985466924195,1.022985466924195,1.0,3.6640625000000004,2,0.2803501199318966,0.0,11.0,15.2883027900096,1.0081923387017889e-16,1.022985466924195,0,0,0.9770145330758051
