slot,epoch,slice,tenant,load,L,theta,report,report_multiplier,weight,allocation_prbs,throughput_mbps,latency_ms,cqi,snr_db,ber,demand_prbs,binding,sla_violation,wasted_prbs
0,0,URLLC,0,0.55,30,0.9694628791437547,0.9694628791437547,1.0,3.6178571428571433,1,0.75500352,0.6687036441921541,14.0,21.031163189503783,2.1329110401713283e-57,0.9694628791437547,0,0,0.03053712085624527
0,0,eMBB,1,0.55,30,8.447332907058852,8.447332907058852,1.0,2.0939285714285716,9,4.92792938934738,0.0,15.0,25.048923060853976,2.0205472498618884e-141,8.447332907058852,0,0,0.5526670929411477
0,0,mMTC,2,0.55,30,2.8165263515573336,2.8165263515573336,1.0,0.46599999999999997,3,0.35690335763319525,0.0,7.0,7.056448549855102,0.0007195983171128366,2.8165263515573336,0,0,0.18347364844266645
1,0,URLLC,0,0.55,30,0.9694628791437547,0.9694628791437547,1.0,3.6178571428571433,1,0.6676538399999999,0.4477988957681137,13.0,20.911100389759607,6.862207779486509e-56,1.7256535500487615,0,0,0.0
1,0,eMBB,1,0.55,30,8.447332907058852,8.447332907058852,1.0,2.0939285714285716,9,7.37886348,0.010354964769566807,15.0,24.581568831150218,3.155741125173841e-127,8.447332907058852,0,0,0.5526670929411477
1,0,mMTC,2,0.55,30,2.8165263515573336,2.8165263515573336,1.0,0.46599999999999997,3,0.52064424,0.5878006795775355,6.0,5.5660842778159205,0.003634888332664028,2.8165263515573336,0,0,0.18347364844266645
2,0,URLLC,0,0.55,30,0.9694628791437547,0.9694628791437547,1.0,3.6178571428571433,1,0.6676538399999999,2.5671495856221247,13.0,20.43866876848012,2.4054129897591964e-50,1.4172617749118686,0,1,0.0
2,0,eMBB,1,0.55,30,8.447332907058852,8.447332907058852,1.0,2.0939285714285716,9,7.37886348,0.16157923841309432,15.0,25.153934868872717,7.960089295943534e-145,8.540527589984952,0,0,0.45947241001504757
2,0,mMTC,2,0.55,30,2.8165263515573336,2.8165263515573336,1.0,0.46599999999999997,3,0.5064248559097496,0.0,6.0,5.816100048861796,0.0028670383127042945,4.57992839028994,0,0,0.0
3,0,URLLC,0,0.55,30,0.9694628791437547,0.9694628791437547,1.0,3.6178571428571433,1,0.6676538399999999,2.4236117099219667,13.0,19.763165514539683,2.1649663789228177e-43,3.5366124647658794,0,1,0.0
3,0,eMBB,1,0.55,30,8.447332907058852,8.447332907058852,1.0,2.0939285714285716,9,7.37886348,0.012616626040858578,15.0,24.851046775165937,3.174057218638614e-135,9.9015460527767,0,0,0.0
3,0,mMTC,2,0.55,30,2.8165263515573336,2.8165263515573336,1.0,0.46599999999999997,3,0.47221734705566054,0.0,6.0,5.831794115220184,0.002823459623968637,2.8165263515573336,0,0,0.18347364844266645
4,0,URLLC,0,0.55,30,0.9694628791437547,0.9694628791437547,1.0,3.6178571428571433,1,0.6676538399999999,3.541420359725363,13.0,19.09045508507288,1.8618856308524083e-37,3.3930745890657215,0,1,0.0
4,0,eMBB,1,0.55,30,8.447332907058852,8.447332907058852,1.0,2.0939285714285716,9,7.37886348,0.008964412869995326,15.0,24.513974612010344,2.6830192238226906e-125,8.56088254142658,0,0,0.43911745857342055
4,0,mMTC,2,0.55,30,2.8165263515573336,2.8165263515573336,1.0,0.46599999999999997,3,0.46719040767589454,0.0,7.0,6.9141515312497095,0.0008595871510133666,2.8165263515573336,0,0,0.18347364844266645
5,0,URLLC,0,0.55,30,0.9694628791437547,0.9694628791437547,1.0,3.6178571428571433,2,1.3353076799999999,1.7057973509455717,13.0,19.479204811172966,8.96144692327168e-41,4.510883238869117,0,0,0.0
5,0,eMBB,1,0.55,30,8.447332907058852,8.447332907058852,1.0,2.0939285714285716,9,6.4224757182770285,0.0,15.0,23.796083039644657,1.491483857434428e-106,8.52801262288881,0,0,0.47198737711119065
5,0,mMTC,2,0.55,30,2.8165263515573336,2.8165263515573336,1.0,0.46599999999999997,3,0.04852176847053898,0.0,7.0,7.131503078364093,0.0006537517813522734,2.8165263515573336,0,0,0.18347364844266645
