load,L,seed,rho_hat,ic_slack,best_multiplier,strategic_rho,regret,learned_reward,best_fixed_reward,truthful_utility,theory_rho_T_over_L,theory_sqrt_LT
0.6,30,2632.0,0.024374999999999997,0.0,1.0,0.024374999999999997,2194.673498409715,-120824.68254068034,-118630.00904227064,434014.1772506845,1.95,268.32815729997475
0.6,60,2662.0,0.009166666666666667,0.0,1.0,0.009166666666666667,1706.388128730905,-119435.6660650769,-117729.277936346,383407.563265977,0.3666666666666667,379.4733192202055
0.6,120,2722.0,0.016944444444444446,0.0,1.0,0.016944444444444446,3064.8095648862313,-115787.4111672669,-112722.60160238067,368046.47070855857,0.33888888888888885,536.6563145999495
0.6,240,2842.0,0.016666666666666666,0.0,1.0,0.016666666666666666,2366.442027925002,-120322.30629003943,-117955.86426211444,441863.19845847675,0.16666666666666666,758.946638440411
0.9,30,2662.0,0.2708333333333333,1168.0358174595556,1.0,0.27020833333333333,3015.483186742555,-137192.5321841737,-134177.04899743115,855352.4602318505,21.666666666666668,268.32815729997475
0.9,60,2692.0,0.28791666666666665,2451.85273516085,1.0,0.28187500000000004,3788.3094253316763,-139343.45008534347,-135555.1406600118,877085.1367127985,11.516666666666666,379.4733192202055
0.9,120,2752.0,0.21930555555555553,81.25414215497828,1.0,0.2248611111111111,4217.048984178466,-136267.8028871537,-132050.75390297524,876373.2848422821,4.386111111111111,536.6563145999495
0.9,240,2872.0,0.2902777777777778,69.98828619443036,0.9916666666666667,0.2925,7444.844328877783,-130160.99396496096,-122716.14963608317,821035.0927390936,2.902777777777778,758.946638440411
1.2,30,2692.0,0.5836111111111112,4706.741339419929,0.9833333333333334,0.5745833333333333,1216.608701849172,-147960.21558373084,-146743.6068818817,1367547.7034121428,46.68888888888889,268.32815729997475
1.2,60,2722.0,0.565486111111111,1686.4221011752186,1.0166666666666666,0.5580555555555555,1977.4922603381176,-145810.8789661222,-143833.38670578407,1284788.5567800538,22.619444444444444,379.4733192202055
1.2,120,2782.0,0.5446527777777778,4566.1997397562955,1.0250000000000001,0.5477083333333334,1861.043504859704,-146944.54609577628,-145083.50259091659,1285643.8993986242,10.893055555555556,536.6563145999495
1.2,240,2902.0,0.6151388888888889,2539.136229841543,1.0083333333333333,0.6261111111111112,3654.1769681294973,-145929.60408298334,-142275.42711485384,1435224.4164460867,6.151388888888889,758.946638440411
