scheduler,seed,best_mult,gain_abs,gain_pct,sla_honest_truthful,sla_honest_misreport,thr_honest_truthful,thr_honest_misreport,delta_honest_thr,throughput_truthful,floor_truthful,jain_truthful
RoundRobin+Floors,0,0.85,0.0,0.0,0.7880555555555555,0.7880555555555555,12.845873056215819,12.845873056215819,0.0,27.716482831615817,1.0,0.8113114572441857
MaxCQI+Floors,0,1.0,0.0,0.0,0.9763888888888889,0.9763888888888889,12.064372937498382,12.064372937498382,0.0,29.312272815643453,1.0,0.7194743510268534
ProportionalFair+Floors,0,0.85,27150.95445200894,2.210234393628438,0.7763888888888889,0.8197222222222222,12.758203806754828,12.509826462754827,-0.24837734400000144,27.88966371655483,1.0,0.8057136022287512
GTMD-noPay,0,3.0,162477.35739235813,12.098816648200538,0.9769444444444444,0.9769444444444444,12.135687326865678,10.095092779844174,-2.040594547021504,27.882605794061146,0.9333333333333333,0.7637873021822351
GTMD-RL,0,1.0,0.0,0.0,0.9769444444444444,0.9769444444444444,12.135687326865678,12.135687326865678,0.0,27.882605794061146,0.9333333333333333,0.7637873021822351
RoundRobin+Floors,1,1.0,0.0,0.0,0.6555555555555556,0.6555555555555556,12.670699049506434,12.670699049506434,0.0,27.52003329320209,1.0,0.7983797116369171
MaxCQI+Floors,1,1.0,0.0,0.0,0.9541666666666667,0.9541666666666667,11.124933642050136,11.124933642050136,0.0,29.118283802764527,1.0,0.6973348010011436
ProportionalFair+Floors,1,0.85,17571.81895785476,1.269334056143418,0.6483333333333333,0.6722222222222223,12.423802760106414,12.277465618239289,-0.1463371418671251,27.745316747235133,1.0,0.7872817733443395
GTMD-noPay,1,2.0,205768.57488157647,13.530071686366215,0.9725,0.9872222222222222,11.04996723824935,9.655490318133488,-1.3944769201158618,27.34731651597773,0.9,0.739967177777629
GTMD-RL,1,1.0,0.0,0.0,0.9725,0.9725,11.04996723824935,11.04996723824935,0.0,27.34731651597773,0.9,0.739967177777629
RoundRobin+Floors,2,0.85,0.0,0.0,0.7463888888888889,0.7463888888888889,12.87246210769209,12.87246210769209,0.0,28.15420259749209,1.0,0.8036954505733375
MaxCQI+Floors,2,0.85,0.0,0.0,0.9730555555555556,0.9730555555555556,10.886597520484955,10.886597520484955,0.0,30.171459954884956,1.0,0.6729144589911734
ProportionalFair+Floors,2,0.85,30238.35608452442,2.2527143639506777,0.7316666666666667,0.7655555555555555,12.792408797343155,12.543202531743159,-0.24920626559999626,28.354207749343153,1.0,0.797541231713674
GTMD-noPay,2,3.0,230556.46563017368,15.51081846169269,0.9713888888888889,0.9736111111111111,11.460098372653176,9.568989650860397,-1.8911087217927793,27.897892861893883,0.9222222222222223,0.7468060691935471
GTMD-RL,2,1.0,0.0,0.0,0.9713888888888889,0.9713888888888889,11.460098372653176,11.460098372653176,0.0,27.897892861893883,0.9222222222222223,0.7468060691935471
RoundRobin+Floors,3,1.0,0.0,0.0,0.7969444444444445,0.7969444444444445,12.651951322124752,12.651951322124752,0.0,27.33562477741194,1.0,0.8156137586391268
MaxCQI+Floors,3,1.0,0.0,0.0,0.9888888888888889,0.9888888888888889,11.266757447945535,11.266757447945535,0.0,29.138104541717393,1.0,0.6984771983463902
ProportionalFair+Floors,3,0.85,29746.275160894962,2.3937369426986526,0.7730555555555556,0.8477777777777777,12.637755080324755,12.386818549124754,-0.2509365312000007,27.502811617211943,1.0,0.8120769549955666
GTMD-noPay,3,1.5,177472.62589771184,13.040544858639029,0.9927777777777778,0.9927777777777778,11.656186406015703,10.150196057795549,-1.5059903482201538,27.043248713674362,0.9333333333333333,0.7747083253416709
GTMD-RL,3,1.0,0.0,0.0,0.9927777777777778,0.9927777777777778,11.656186406015703,11.656186406015703,0.0,27.043248713674362,0.9333333333333333,0.7747083253416709
