scheduler,load,sum_throughput_mbps,mean_latency_ms,p95_latency_ms,sla_violation_rate,jain_fairness,floor_satisfaction,wasted_prbs_per_slot,prb_utilization,thr_URLLC,p95lat_URLLC,sla_URLLC,thr_eMBB,p95lat_eMBB,sla_eMBB,thr_mMTC,p95lat_mMTC,sla_mMTC
RoundRobin,0.7,12.402214938498151,0.2546490832227349,1.4340627262893453,0.018055555555555554,0.5876171095120417,0.9981944444444445,1.4874363445524397,0.5024583333333333,2.505239973491377,2.0261239045689545,0.05125,8.948625515373989,0.27387252122321337,0.002916666666666667,0.9483494496327612,1.2257098576242151,0.0
MaxCQI,0.7,12.402214938498151,4.3530848886453555,1.6721996903191922,0.02652777777777778,0.5876171095120418,0.9930555555555556,1.476784261164751,0.5026416666666667,2.5052399734913773,2.147537333250215,0.05541666666666667,8.948625515373989,0.25292213584693396,0.0016666666666666668,0.9483494496327612,4.197981857529294,0.0225
ProportionalFair,0.7,12.402214938498151,1.2980447369949442,1.4953497194200376,0.02013888888888889,0.5876171095120418,0.9969444444444444,1.4912857877651144,0.5026166666666666,2.5052399734913773,2.0560992517416175,0.05333333333333334,8.948625515373987,0.2917508303206243,0.006666666666666667,0.948349449632761,1.2735409716168546,0.0004166666666666667
RoundRobin+Floors,0.7,12.402214938498151,0.11367815682949536,0.3581737581819329,0.004166666666666667,0.5876171095120426,1.0,14.4530355296179,0.727725,2.5052399734914004,0.5766202182568138,0.011666666666666667,8.948625515373998,0.13744665999278496,0.0008333333333333334,0.9483494496327584,0.6785622846226674,0.0
MaxCQI+Floors,0.7,12.402214938498151,0.11355463626017333,0.3550814288623242,0.005416666666666667,0.5876171095120427,1.0,14.44574732750998,0.7273916666666667,2.5052399734914,0.6083200701111037,0.015,8.948625515373996,0.1317574902961893,0.00125,0.9483494496327584,0.7737936916019289,0.0
ProportionalFair+Floors,0.7,12.402214938498151,0.11284600829370973,0.3561687677466248,0.0043055555555555555,0.5876171095120424,1.0,14.449808137830981,0.7276083333333334,2.5052399734914,0.5697632440285693,0.0125,8.948625515373998,0.13681419567460382,0.0004166666666666667,0.9483494496327584,0.7332212071480563,0.0
GTMD-RL,0.7,12.402214938498151,0.2515372423347134,1.4586130570605584,0.01875,0.5876171095120419,1.0,1.4847805370278828,0.5020333333333333,2.5052399734913786,2.1791703348527283,0.05625,8.948625515373989,0.2641345311018987,0.0,0.9483494496327609,1.3583612189123448,0.0
RoundRobin,1.0,16.73048059854122,0.6165174504446023,2.6571767195671634,0.019305555555555555,0.6367029144596489,0.9873611111111111,1.3470495821726756,0.7008833333333334,2.968489255166804,1.8981461191411377,0.04541666666666667,11.51956928339838,0.5287743334493505,0.0,2.242422059975982,9.317604615599087,0.0125
MaxCQI,1.0,16.73298430044122,6.550714182781975,3.7463137594681037,0.0325,0.6366428627214296,0.9894444444444445,1.3649575785465196,0.7007333333333334,2.9684892551668027,2.0570465066437094,0.05333333333333334,11.52207298529838,0.2806028250746657,0.00125,2.242422059975981,16.615333383326117,0.042916666666666665
ProportionalFair,1.0,16.73020240944122,7.094020307979615,3.914113359070852,0.03208333333333333,0.6367095881915356,0.9805555555555555,1.3588993342235403,0.7020916666666666,2.9684892551668014,1.9207996602292061,0.04666666666666667,11.519291094298415,3.313966469117905,0.030833333333333334,2.24242205997598,9.040249483496298,0.01875
RoundRobin+Floors,1.0,16.731036976741223,1.1052952936347415,4.019171706971582,0.024583333333333332,0.6366895677858847,1.0,8.921052839444961,0.8182083333333334,2.9684892551668205,0.6978668071565061,0.00875,11.520125661598449,0.5795142694565345,0.01125,2.24242205997599,20.98747172614762,0.05375
MaxCQI+Floors,1.0,16.732824312898373,1.0786377932690723,4.263500737513403,0.02388888888888889,0.6366338044907934,1.0,8.922637556513434,0.818075,2.9684892551668205,0.6978668071565061,0.00875,11.522072985298436,0.4056750056248452,0.005833333333333334,2.2422620724331446,21.609925082921386,0.05708333333333333
ProportionalFair+Floors,1.0,16.731036976741223,1.1524475259839377,4.82047510719377,0.025694444444444443,0.6366895677858847,1.0,8.91703882468983,0.8185583333333334,2.9684892551668205,0.6978668071565061,0.008333333333333333,11.520125661598449,1.470995374536597,0.01375,2.2424220599759894,21.36818179381979,0.055
GTMD-RL,1.0,16.73298430044122,0.6355726399145009,2.565897826006211,0.019583333333333335,0.6366428627214293,1.0,1.3551027707907408,0.7006,2.968489255166803,1.8981461191411377,0.04541666666666667,11.522072985298395,0.3215262095173858,0.0,2.2424220599759814,9.90228246477217,0.013333333333333334
RoundRobin,1.3,23.172168389624343,12.46541251450934,75.37346624130322,0.2525,0.6660878680142343,0.9380555555555555,0.9089036640020345,0.9065333333333334,4.2361327574294885,3.7348518185352404,0.11041666666666666,15.44616310532017,109.42594498524295,0.455,3.489872526874622,53.116415601061895,0.19208333333333333
MaxCQI,1.3,23.17216838962434,53.432460893114026,500.0,0.23416666666666666,0.6660878680142346,0.9144444444444444,1.0535832453581517,0.908575,4.236132757429488,4.653744326530568,0.11375,15.446163105320183,0.9461211162499437,0.010416666666666666,3.4898725268746307,500.0,0.5783333333333334
ProportionalFair,1.3,23.172168389624343,69.84843265318489,500.0,0.2761111111111111,0.6660878680142331,0.8620833333333333,0.9701308099705326,0.9127083333333332,4.236132757429487,4.035375183106311,0.10208333333333333,15.446163105320254,500.0,0.5516666666666666,3.4898725268746316,500.0,0.17458333333333334
RoundRobin+Floors,1.3,23.172168389624336,29.5548839948094,183.34308432375613,0.35083333333333333,0.666087868014236,1.0,4.510025245779956,0.9417833333333333,4.236132757429536,7.468953258893373,0.12833333333333333,15.446163105320247,77.18915964653704,0.38625,3.489872526874654,274.3528244091041,0.5379166666666667
MaxCQI+Floors,1.3,23.17216838962434,44.92753396515116,373.4040662513085,0.26611111111111113,0.6660878680142365,1.0,4.709026622353713,0.9510500000000001,4.236132757429525,3.9289657398165017,0.08625,15.44616310532019,13.577549463540858,0.11958333333333333,3.4898725268746467,468.572282443383,0.5925
ProportionalFair+Floors,1.3,23.172168389624332,23.529307611579675,121.89639531918547,0.3401388888888889,0.6660878680142351,1.0,4.627249758612213,0.9453166666666667,4.2361327574295355,6.07507691491343,0.1075,15.44616310532029,111.41245563852948,0.4875,3.4898725268746564,185.04358830857066,0.42541666666666667
GTMD-RL,1.3,23.172168389624336,26.682963085423484,221.99214621689347,0.23194444444444445,0.6660878680142339,1.0,0.8893831422486058,0.89985,4.236132757429497,3.540172466124358,0.11375,15.44616310532023,10.416361439892446,0.10041666666666667,3.489872526874627,325.2559718370578,0.4816666666666667
