exp,T,L,mech,seed,slack,best_d
E1a,2500,50,RINF,0,0.1942655179580015,-0.035
E1a,2500,50,RINF,1,0.1942655179580015,-0.035
E1a,2500,50,RINF,2,0.1942655179580015,-0.035
E1a,2500,50,RINF,3,0.1942655179580015,-0.035
E1a,2500,50,RINF,4,0.1942655179580015,-0.035
E1a,2500,50,RINF,5,0.1942655179580015,-0.035
E1a,2500,50,RINF,6,0.1942655179580015,-0.035
E1a,2500,50,RINF,7,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=1),0,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=1),1,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=1),2,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=1),3,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=1),4,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=1),5,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=1),6,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=1),7,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=2),0,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=2),1,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=2),2,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=2),3,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=2),4,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=2),5,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=2),6,0.1942655179580015,-0.035
E1a,2500,50,EPOCH(r=2),7,0.1942655179580015,-0.035
E1a,2500,50,CUM(r=1),0,0.1328139001886086,-0.020000000000000004
E1a,2500,50,CUM(r=1),1,0.12582600092247276,-0.015
E1a,2500,50,CUM(r=1),2,0.1413042663165811,-0.020000000000000004
E1a,2500,50,CUM(r=1),3,0.15520702557697064,-0.020000000000000004
E1a,2500,50,CUM(r=1),4,0.11056913795238188,-0.015
E1a,2500,50,CUM(r=1),5,0.10017430595729593,-0.015
E1a,2500,50,CUM(r=1),6,0.1538500116932653,-0.020000000000000004
E1a,2500,50,CUM(r=1),7,0.12817266988383835,-0.015
E1a,2500,50,EPOCH0,0,0.0,0.0
E1a,2500,50,EPOCH0,1,0.0,0.0
E1a,2500,50,EPOCH0,2,0.0,0.0
E1a,2500,50,EPOCH0,3,0.0,0.0
E1a,2500,50,EPOCH0,4,0.0,0.0
E1a,2500,50,EPOCH0,5,0.0,0.0
E1a,2500,50,EPOCH0,6,0.0,0.0
E1a,2500,50,EPOCH0,7,0.0,0.0
E1a,2500,50,CUM0,0,0.0,0.0
E1a,2500,50,CUM0,1,0.0,0.0
E1a,2500,50,CUM0,2,0.0,0.0
E1a,2500,50,CUM0,3,0.0,0.0
E1a,2500,50,CUM0,4,0.0,0.0
E1a,2500,50,CUM0,5,0.0,0.0
E1a,2500,50,CUM0,6,0.0,0.0
E1a,2500,50,CUM0,7,0.0,0.0
E1a,5000,50,RINF,0,0.6092525990568447,-0.04000000000000001
E1a,5000,50,RINF,1,0.6092525990568447,-0.04000000000000001
E1a,5000,50,RINF,2,0.6092525990568447,-0.04000000000000001
E1a,5000,50,RINF,3,0.6092525990568447,-0.04000000000000001
E1a,5000,50,RINF,4,0.6092525990568447,-0.04000000000000001
E1a,5000,50,RINF,5,0.6092525990568447,-0.04000000000000001
E1a,5000,50,RINF,6,0.6092525990568447,-0.04000000000000001
E1a,5000,50,RINF,7,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=1),0,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=1),1,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=1),2,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=1),3,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=1),4,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=1),5,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=1),6,0.6092525990568447,-0.04000000000000001
E1a,5000,50,EPOCH(r=1),7,0.6092525990568447,-0.04000000000000001
