sigma,mech,seed,regret,rho
0.05,ORACLE,0,0.0,0.07338
0.05,ORACLE,1,0.0,0.0751
0.05,ORACLE,2,0.0,0.07334
0.05,ORACLE,3,0.0,0.07442
0.05,ORACLE,4,0.0,0.0739
0.05,ORACLE,5,0.0,0.07536
0.05,EPOCH(r=1),0,0.0,0.07338
0.05,EPOCH(r=1),1,0.0,0.0751
0.05,EPOCH(r=1),2,0.0,0.07334
0.05,EPOCH(r=1),3,0.0,0.07442
0.05,EPOCH(r=1),4,0.0,0.0739
0.05,EPOCH(r=1),5,0.0,0.07536
0.05,EPOCH0,0,0.0,0.07338
0.05,EPOCH0,1,0.0,0.0751
0.05,EPOCH0,2,0.0,0.07334
0.05,EPOCH0,3,0.0,0.07442
0.05,EPOCH0,4,0.0,0.0739
0.05,EPOCH0,5,0.0,0.07536
0.05,CUM0,0,0.0,0.07338
0.05,CUM0,1,0.0,0.0751
0.05,CUM0,2,0.0,0.07334
0.05,CUM0,3,0.0,0.07442
0.05,CUM0,4,0.0,0.0739
0.05,CUM0,5,0.0,0.07536
0.1,ORACLE,0,0.0,0.07338
0.1,ORACLE,1,0.0,0.07514
0.1,ORACLE,2,0.0,0.07414
0.1,ORACLE,3,0.0,0.07554
0.1,ORACLE,4,0.0,0.07382
0.1,ORACLE,5,0.0,0.07564
0.1,EPOCH(r=1),0,0.0,0.07338
0.1,EPOCH(r=1),1,0.0,0.07514
0.1,EPOCH(r=1),2,0.0,0.07414
0.1,EPOCH(r=1),3,0.0,0.07554
0.1,EPOCH(r=1),4,0.0,0.07382
0.1,EPOCH(r=1),5,0.0,0.07564
0.1,EPOCH0,0,0.0,0.07338
0.1,EPOCH0,1,0.0,0.07514
0.1,EPOCH0,2,0.0,0.07414
0.1,EPOCH0,3,0.0,0.07554
0.1,EPOCH0,4,0.0,0.07382
0.1,EPOCH0,5,0.0,0.07564
0.1,CUM0,0,0.0,0.07338
0.1,CUM0,1,0.0,0.07514
0.1,CUM0,2,0.0,0.07414
0.1,CUM0,3,0.0,0.07554
0.1,CUM0,4,0.0,0.07382
0.1,CUM0,5,0.0,0.07564
0.2,ORACLE,0,0.0,0.0733
0.2,ORACLE,1,0.0,0.07506
0.2,ORACLE,2,0.0,0.07412
0.2,ORACLE,3,0.0,0.07556
0.2,ORACLE,4,0.0,0.07426
0.2,ORACLE,5,0.0,0.07544
0.2,EPOCH(r=1),0,0.0,0.0733
0.2,EPOCH(r=1),1,0.0,0.07506
0.2,EPOCH(r=1),2,0.0,0.07412
0.2,EPOCH(r=1),3,0.0,0.07556
0.2,EPOCH(r=1),4,0.0,0.07426
0.2,EPOCH(r=1),5,0.0,0.07544
0.2,EPOCH0,0,0.0,0.0733
0.2,EPOCH0,1,0.0,0.07506
0.2,EPOCH0,2,0.0,0.07412
0.2,EPOCH0,3,0.0,0.07556
0.2,EPOCH0,4,0.0,0.07426
0.2,EPOCH0,5,0.0,0.07544
0.2,CUM0,0,0.0,0.0733
0.2,CUM0,1,0.0,0.07506
0.2,CUM0,2,0.0,0.07412
0.2,CUM0,3,0.0,0.07556
0.2,CUM0,4,0.0,0.07426
0.2,CUM0,5,0.0,0.07544
0.4,ORACLE,0,0.0,0.07202
0.4,ORACLE,1,0.0,0.07586
0.4,ORACLE,2,0.0,0.07356
0.4,ORACLE,3,0.0,0.07456
0.4,ORACLE,4,0.0,0.0744
0.4,ORACLE,5,0.0,0.07558
0.4,EPOCH(r=1),0,0.0,0.07202
0.4,EPOCH(r=1),1,0.0,0.07586
0.4,EPOCH(r=1),2,0.0,0.07356
0.4,EPOCH(r=1),3,0.0,0.07456
0.4,EPOCH(r=1),4,0.0,0.0744
0.4,EPOCH(r=1),5,0.0,0.07558
0.4,EPOCH0,0,0.0,0.07202
0.4,EPOCH0,1,0.0,0.07586
0.4,EPOCH0,2,0.0,0.07356
0.4,EPOCH0,3,0.0,0.07456
0.4,EPOCH0,4,0.0,0.0744
0.4,EPOCH0,5,0.0,0.07558
0.4,CUM0,0,0.0,0.07202
0.4,CUM0,1,0.0,0.07586
0.4,CUM0,2,0.0,0.07356
0.4,CUM0,3,0.0,0.07456
0.4,CUM0,4,0.0,0.0744
0.4,CUM0,5,0.0,0.07558
0.8,ORACLE,0,0.0,0.07192
0.8,ORACLE,1,0.0,0.07562
0.8,ORACLE,2,0.0,0.07652
0.8,ORACLE,3,0.0,0.07606
0.8,ORACLE,4,0.0,0.07322
0.8,ORACLE,5,0.0,0.07578
0.8,EPOCH(r=1),0,0.0,0.07192
0.8,EPOCH(r=1),1,0.0,0.07562
0.8,EPOCH(r=1),2,0.0,0.07652
0.8,EPOCH(r=1),3,0.0,0.07606
0.8,EPOCH(r=1),4,0.0,0.07322
0.8,EPOCH(r=1),5,0.0,0.07578
0.8,EPOCH0,0,0.0,0.07192
0.8,EPOCH0,1,0.0,0.07562
0.8,EPOCH0,2,0.0,0.07652
0.8,EPOCH0,3,0.0,0.07606
0.8,EPOCH0,4,0.0,0.07322
0.8,EPOCH0,5,0.0,0.07578
0.8,CUM0,0,0.0,0.07192
0.8,CUM0,1,0.0,0.07562
0.8,CUM0,2,0.0,0.07652
0.8,CUM0,3,0.0,0.07606
0.8,CUM0,4,0.0,0.07322
0.8,CUM0,5,0.0,0.07578
