sigma,T,L,anchor,mech,seed,slack,regret,combined
0.05,1000,10,EPOCH,EPOCH0,0,0.0,0.0008802169217148048,0.0008802169217148048
0.05,1000,10,EPOCH,EPOCH0,1,0.0,0.0003215225032882074,0.0003215225032882074
0.05,1000,10,EPOCH,EPOCH0,2,0.0,0.00020195835845226995,0.00020195835845226995
0.05,1000,10,EPOCH,EPOCH0,3,0.0,0.00012661711683348287,0.00012661711683348287
0.05,1000,10,EPOCH,EPOCH0,4,0.0,0.00015064716923252064,0.00015064716923252064
0.05,1000,10,EPOCH,EPOCH(r=1),0,0.12184774993545489,0.0,0.12184774993545489
0.05,1000,10,EPOCH,EPOCH(r=1),1,0.12122287652360342,0.0,0.12122287652360342
0.05,1000,10,EPOCH,EPOCH(r=1),2,0.12185051981165884,0.0,0.12185051981165884
0.05,1000,10,EPOCH,EPOCH(r=1),3,0.1213022281432643,0.0,0.1213022281432643
0.05,1000,10,EPOCH,EPOCH(r=1),4,0.12134657851744635,0.0,0.12134657851744635
0.05,1000,50,CUM,CUM0,0,0.0,0.00018007981515966165,0.00018007981515966165
0.05,1000,50,CUM,CUM0,1,0.0,7.417358933725637e-05,7.417358933725637e-05
0.05,1000,50,CUM,CUM0,2,0.0,6.745910396954713e-06,6.745910396954713e-06
0.05,1000,50,CUM,CUM0,3,0.0,2.935539733517345e-06,2.935539733517345e-06
0.05,1000,50,CUM,CUM0,4,0.0,4.102973405473165e-06,4.102973405473165e-06
0.05,1000,50,CUM,CUM(r=1),0,0.019996765592765087,0.0,0.019996765592765087
0.05,1000,50,CUM,CUM(r=1),1,0.019920003145443843,0.0,0.019920003145443843
0.05,1000,50,CUM,CUM(r=1),2,0.019133425198447185,0.0,0.019133425198447185
0.05,1000,50,CUM,CUM(r=1),3,0.01964477991295155,0.0,0.01964477991295155
0.05,1000,50,CUM,CUM(r=1),4,0.019834983888429747,0.0,0.019834983888429747
0.05,3000,10,EPOCH,EPOCH0,0,0.0,0.0023505617915065002,0.0023505617915065002
0.05,3000,10,EPOCH,EPOCH0,1,0.0,0.001077730366751961,0.001077730366751961
0.05,3000,10,EPOCH,EPOCH0,2,0.0,0.0006331334351705742,0.0006331334351705742
0.05,3000,10,EPOCH,EPOCH0,3,0.0,0.0009274516768309482,0.0009274516768309482
0.05,3000,10,EPOCH,EPOCH0,4,0.0,0.0011228441412924894,0.0011228441412924894
0.05,3000,10,EPOCH,EPOCH(r=1),0,0.48374894227157483,0.0,0.48374894227157483
0.05,3000,10,EPOCH,EPOCH(r=1),1,0.48394616276334546,0.0,0.48394616276334546
0.05,3000,10,EPOCH,EPOCH(r=1),2,0.4842949060262072,0.0,0.4842949060262072
0.05,3000,10,EPOCH,EPOCH(r=1),3,0.48427922267421764,0.0,0.48427922267421764
0.05,3000,10,EPOCH,EPOCH(r=1),4,0.48405165458581223,0.0,0.48405165458581223
0.05,3000,50,CUM,CUM0,0,0.0,0.0005427395894042064,0.0005427395894042064
0.05,3000,50,CUM,CUM0,1,0.0,0.00012914144039699593,0.00012914144039699593
0.05,3000,50,CUM,CUM0,2,0.0,1.4581756513365463e-05,1.4581756513365463e-05
0.05,3000,50,CUM,CUM0,3,0.0,8.47769345835303e-06,8.47769345835303e-06
0.05,3000,50,CUM,CUM0,4,0.0,3.5894126404478754e-05,3.5894126404478754e-05
0.05,3000,50,CUM,CUM(r=1),0,0.09560537230822774,0.0,0.09560537230822774
